frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
140,18.0,[52.11170959472656 336.461669921875 772.6185913085938 714.4026489257812],0.9190621376037598,[237.06900024414062 280.5428161621094 442.21533203125 346.3266906738281],0.7729962468147278,CL65GXH,0.4697529950914692
176,18.0,[448.4931335449219 239.88961791992188 997.3487548828125 562.0685424804688],0.9364896416664124,[173.1107635498047 193.86317443847656 320.8315734863281 245.24166870117188],0.7759942412376404,CC65GXN,0.17473873542895949
179,18.0,[475.2404479980469 238.52703857421875 999.177490234375 548.7003173828125],0.928142249584198,[166.02999877929688 186.0629425048828 308.0740661621094 235.69815063476562],0.7852625250816345,FL55GXH,0.10258733633174338
